Codigo_Medicamento,Numero_Lote,Cantidad,Costo_Unitario,Precio_Venta,Fecha_Vencimiento,Fecha_Recepcion,Lote_Proveedor,Ubicacion_Fisica,Stock_Minimo
CHU-056,LOTE-CHU-2024-039,1,32.00,40.00,2026-12-31,2024-01-15,,Bodega,1
CHU-058,LOTE-CHU-2024-040,2,40.00,50.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-059,LOTE-CHU-2024-041,2,48.00,60.00,2026-12-31,2024-01-15,,Farmacia,3
CHU-060,LOTE-CHU-2024-042,2,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,3
CHU-061,LOTE-CHU-2024-043,2,96.00,120.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-062,LOTE-CHU-2024-044,2,64.00,80.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-063,LOTE-CHU-2024-045,88,5.60,7.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-067,LOTE-CHU-2024-046,173,24.00,30.00,2026-12-31,2024-01-15,,Farmacia,20
CHU-068,LOTE-CHU-2024-047,236,6.00,7.00,2026-12-31,2024-01-15,,Farmacia,30
CHU-069,LOTE-CHU-2024-048,1,28.00,35.00,2027-12-31,2024-01-15,,Bodega,2
CHU-070,LOTE-CHU-2024-049,3,28.00,35.00,2027-12-31,2024-01-15,,Bodega,3
CHU-071,LOTE-CHU-2024-050,8,4.00,5.00,2027-12-31,2024-01-15,,Farmacia,10
CHU-072,LOTE-CHU-2024-051,14,12.00,15.00,2027-12-31,2024-01-15,,Farmacia,10
CHU-073,LOTE-CHU-2024-052,14,12.00,15.00,2027-12-31,2024-01-15,,Bodega,5
CHU-074,LOTE-CHU-2024-053,18,12.00,15.00,2027-12-31,2024-01-15,,Bodega,5
CHU-077,LOTE-CHU-2024-054,26,28.00,35.00,2027-12-31,2024-01-15,,Bodega,5
CHU-078,LOTE-CHU-2024-055,200,20.00,25.00,2027-12-31,2024-01-15,,Farmacia,30
CHU-079,LOTE-CHU-2024-056,180,2.40,3.00,2027-12-31,2024-01-15,,Farmacia,30
CHU-080,LOTE-CHU-2024-057,100,4.00,5.00,2027-12-31,2024-01-15,,Farmacia,20
CHU-081,LOTE-CHU-2024-058,122,4.00,5.00,2027-12-31,2024-01-15,,Farmacia,20
CHU-082,LOTE-CHU-2024-059,148,10.40,13.00,2027-12-31,2024-01-15,,Farmacia,20
CHU-083,LOTE-CHU-2024-060,6,10.40,13.00,2027-12-31,2024-01-15,,Farmacia,5
CHU-084,LOTE-CHU-2024-061,30,35.00,43.00,2027-12-31,2024-01-15,,Farmacia,5
CHU-085,LOTE-CHU-2024-062,21,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-086,LOTE-CHU-2024-063,18,26.00,33.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-087,LOTE-CHU-2024-064,44,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-088,LOTE-CHU-2024-065,100,32.00,40.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-089,LOTE-CHU-2024-066,178,1.60,2.00,2026-12-31,2024-01-15,,Farmacia,30
CHU-090,LOTE-CHU-2024-067,26,32.00,40.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-094,LOTE-CHU-2024-068,1,32.00,40.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-095,LOTE-CHU-2024-069,2,32.00,40.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-096,LOTE-CHU-2024-070,2,40.00,50.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-097,LOTE-CHU-2024-071,100,64.00,80.00,2026-12-31,2024-01-15,,Refrigerador,10
CHU-098,LOTE-CHU-2024-072,24,8.00,10.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-099,LOTE-CHU-2024-073,73,8.00,10.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-100,LOTE-CHU-2024-074,660,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,50
CHU-101,LOTE-CHU-2024-075,10,64.00,80.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-103,LOTE-CHU-2024-076,785,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,100
CHU-104,LOTE-CHU-2024-077,139,20.00,25.00,2026-12-31,2024-01-15,,Refrigerador,10
CHU-105,LOTE-CHU-2024-078,7,32.00,40.00,2026-06-30,2024-01-15,,Farmacia,5
CHU-106,LOTE-CHU-2024-079,23,52.00,65.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-109,LOTE-CHU-2024-080,4,12.00,15.00,2027-12-31,2024-01-15,,Bodega,5
CHU-110,LOTE-CHU-2024-081,5,14.40,18.00,2027-12-31,2024-01-15,,Bodega,5
CHU-111,LOTE-CHU-2024-082,4,9.60,12.00,2027-12-31,2024-01-15,,Bodega,5
CHU-112,LOTE-CHU-2024-083,1,5.60,7.00,2027-12-31,2024-01-15,,Bodega,2
